produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
Air Fryer Mondial AF-30,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/air-fryer-mondial,https://afiliado.com/airfryer,pending,,
iPhone 15 Pro Max,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/iphone-15-pro-max,https://afiliado.com/iphone15,pending,,
PlayStation 5 Slim,pt-BR,games,review,https://lista.mercadolivre.com.br/playstation-5-slim,https://afiliado.com/ps5,pending,,
Notebook Dell Inspiron 15,pt-BR,computadores,review,https://lista.mercadolivre.com.br/notebook-dell-inspiron,https://afiliado.com/dell,pending,,
Whey Protein Growth 900g,pt-BR,saude,review,https://lista.mercadolivre.com.br/whey-protein-growth,https://afiliado.com/whey,pending,,
Aspirador Robô Xiaomi,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/aspirador-robo-xiaomi,https://afiliado.com/xiaomirobo,pending,,
Smartwatch Apple Watch SE,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/apple-watch-se,https://afiliado.com/applewatch,pending,,
Geladeira Brastemp Frost Free,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/geladeira-brastemp,https://afiliado.com/brastemp,pending,,
Cadeira Gamer DT3 Sports,pt-BR,gamer,review,https://lista.mercadolivre.com.br/cadeira-gamer-dt3,https://afiliado.com/cadeiragamer,pending,,
Fone Bluetooth JBL Tune,pt-BR,audio,review,https://lista.mercadolivre.com.br/fone-jbl-bluetooth,https://afiliado.com/jbl,pending,,
Liquidificador Oster 450W,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/liquidificador-oster,https://afiliado.com/oster,pending,,
Panela Pressão Elétrica,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/panela-pressao-eletrica,https://afiliado.com/panelaeletrica,pending,,
Samsung Galaxy S24 Ultra,pt-BR,smartphones,review,https://lista.mercadolivre.com.br/galaxy-s24-ultra,https://afiliado.com/s24,pending,,
Xbox Series X 1TB,pt-BR,games,review,https://lista.mercadolivre.com.br/xbox-series-x,https://afiliado.com/xbox,pending,,
Monitor Gamer 144Hz LG,pt-BR,gamer,review,https://lista.mercadolivre.com.br/monitor-gamer-144hz,https://afiliado.com/monitorgamer,pending,,
Esteira Elétrica Motorizada,pt-BR,fitness,review,https://lista.mercadolivre.com.br/esteira-eletrica,https://afiliado.com/esteira,pending,,
Purificador de Água LG,pt-BR,saude,review,https://lista.mercadolivre.com.br/purificador-agua-lg,https://afiliado.com/purificador,pending,,
Power Bank 20000mAh,pt-BR,acessorios,review,https://lista.mercadolivre.com.br/power-bank-20000mah,https://afiliado.com/powerbank,pending,,
Tablet Samsung Galaxy Tab,pt-BR,tecnologia,review,https://lista.mercadolivre.com.br/tablet-samsung,https://afiliado.com/tablet,pending,,
Kit Ferramentas 100 Peças,pt-BR,ferramentas,review,https://lista.mercadolivre.com.br/kit-ferramentas,https://afiliado.com/ferramentas,pending,,
Micro-ondas Panasonic 31L,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/microondas-panasonic,https://afiliado.com/microondas,pending,,
Máquina Lavar Consul 12kg,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/maquina-lavar-consul,https://afiliado.com/maquinalavar,pending,,
Headset Gamer Redragon Zeus,pt-BR,gamer,review,https://lista.mercadolivre.com.br/headset-redragon,https://afiliado.com/headset,pending,,
Caixa de Som JBL Charge 5,pt-BR,audio,review,https://lista.mercadolivre.com.br/jbl-charge-5,https://afiliado.com/jblcharge,pending,,
Bicicleta Ergométrica Kikos,pt-BR,fitness,review,https://lista.mercadolivre.com.br/bicicleta-ergometrica,https://afiliado.com/bicicleta,pending,,
Churrasqueira Elétrica Mondial,pt-BR,utilidades,review,https://lista.mercadolivre.com.br/churrasqueira-eletrica,https://afiliado.com/churrasqueira,pending,,
Vitamina D3 + K2 60 Cápsulas,pt-BR,saude,review,https://lista.mercadolivre.com.br/vitamina-d3-k2,https://afiliado.com/vitaminad,pending,,
Ômega 3 1000mg 120 Cápsulas,pt-BR,saude,review,https://lista.mercadolivre.com.br/omega-3-1000mg,https://afiliado.com/omega3,pending,,
Processador Intel Core i5,pt-BR,computadores,review,https://lista.mercadolivre.com.br/processador-i5,https://afiliado.com/processador,pending,,
Placa de Vídeo RTX 3060,pt-BR,gamer,review,https://lista.mercadolivre.com.br/rtx-3060,https://afiliado.com/rtx3060,pending,,
Controle PS5 DualSense,pt-BR,games,review,https://lista.mercadolivre.com.br/controle-ps5,https://afiliado.com/controleps5,pending,,
Fogão 4 Bocas Atlas,pt-BR,eletrodomesticos,review,https://lista.mercadolivre.com.br/fogao-4-bocas,https://afiliado.com/fogao,pending,,
